Скважина,Давление пластовое,Тип испытания
81b03b50b749c7fb9d88243d2d420205,233.0,высокое качество
81b03b50b749c7fb9d88243d2d420205,130.0,среднее качество
80d6bd4ef8b47a3dfd43d5623a081e76,154.0,среднее качество
80d6bd4ef8b47a3dfd43d5623a081e76,120.0,среднее качество
c6e8bc28c76575e4e260ecb0615cf820,100.0,среднее качество
c6e8bc28c76575e4e260ecb0615cf820,172.0,среднее качество
75775ea5f538c99d1fb5f46b383cd08a,0.0,низкое качество
75775ea5f538c99d1fb5f46b383cd08a,113.0,среднее качество
75775ea5f538c99d1fb5f46b383cd08a,180.0,среднее качество
d66319ad6c73028717fd6d4c911ff3ba,194.3,среднее качество
d66319ad6c73028717fd6d4c911ff3ba,0.0,низкое качество
f53a2c38f34891b7e4d6abee97310b75,315.0,среднее качество
f53a2c38f34891b7e4d6abee97310b75,322.7,среднее качество
f63abcb03598c7026c30a5e15c5f79fe,140.0,среднее качество
f63abcb03598c7026c30a5e15c5f79fe,135.0,среднее качество
5a4202dcf17adc169ba49fb8dcd29072,198.0,низкое качество
f63abcb03598c7026c30a5e15c5f79fe,236.0,среднее качество
f63abcb03598c7026c30a5e15c5f79fe,0.0,низкое качество
f63abcb03598c7026c30a5e15c5f79fe,173.0,среднее качество
53514b4c4150ad897d82dd7d42cfc1a5,149.0,низкое качество
bf6c53c69618b430efe0e126acbfc77a,110.0,среднее качество
bf6c53c69618b430efe0e126acbfc77a,153.0,среднее качество
c1e45aa4c4e7fd37dbcd247ab0302d07,125.0,среднее качество
1ff7059b2cad138a0733080d30e2b7f9,130.0,среднее качество
1ff7059b2cad138a0733080d30e2b7f9,0.0,низкое качество
7709ba31a07079eb99c9a6e603a7f955,158.0,среднее качество
3234a53945862051749f66a8aa0b78f9,0.0,среднее качество
3234a53945862051749f66a8aa0b78f9,113.0,среднее качество
45307e922796c3f2729f9c8a0329c505,132.0,среднее качество
a4ab7c0046095d0edaa9912a70bd9a24,65.0,среднее качество
db9947ee0fbc7f53447ab68bca6af0a1,115.0,среднее качество
a4ab7c0046095d0edaa9912a70bd9a24,200.0,низкое качество
a4ab7c0046095d0edaa9912a70bd9a24,110.0,среднее качество
a4ab7c0046095d0edaa9912a70bd9a24,200.0,среднее качество
f100d48d4b0b7d98cb5f17ae5dd6506c,0.0,низкое качество
68a7b98a35fac011108c1cd70ee49ed3,147.0,среднее качество
c1e45aa4c4e7fd37dbcd247ab0302d07,195.0,среднее качество
c1e45aa4c4e7fd37dbcd247ab0302d07,64.1,среднее качество
68a7b98a35fac011108c1cd70ee49ed3,215.0,низкое качество
3a64ba1b382ffeb0c514a4a569acff44,195.0,среднее качество
3a64ba1b382ffeb0c514a4a569acff44,212.0,среднее качество
5a4202dcf17adc169ba49fb8dcd29072,178.0,среднее качество
8b6c2950e9411bab171d55c1c800845c,234.0,среднее качество
8b6c2950e9411bab171d55c1c800845c,162.0,среднее качество
8b6c2950e9411bab171d55c1c800845c,140.0,низкое качество
23fbbfd751667ca3ea867ad527568232,152.0,среднее качество
3eec5518468a51cd8052303486601247,164.0,среднее качество
3eec5518468a51cd8052303486601247,170.0,среднее качество
1f60232d501d273670259f0002142696,140.0,среднее качество
744b75db1f4f30b28579246cfed2cd5b,110.0,среднее качество
753e57acaa765da4b9fd44a612a30b4b,0.0,низкое качество
753e57acaa765da4b9fd44a612a30b4b,370.0,среднее качество
1f60232d501d273670259f0002142696,111.0,среднее качество
744b75db1f4f30b28579246cfed2cd5b,125.0,среднее качество
eba55afd6154ccb1f102b29e55feac11,232.0,среднее качество
eba55afd6154ccb1f102b29e55feac11,220.0,среднее качество
744b75db1f4f30b28579246cfed2cd5b,145.0,низкое качество
744b75db1f4f30b28579246cfed2cd5b,145.2,низкое качество
eba55afd6154ccb1f102b29e55feac11,254.0,среднее качество
ade7c5bca6460d966b8523b72197c598,160.0,среднее качество
ade7c5bca6460d966b8523b72197c598,195.8,среднее качество
ed9d29c6b7eb1204608e2741ead69c25,161.0,низкое качество
ea9eb352e2af03f62402ac55be495feb,140.0,среднее качество
644c2322bf8c1ecbce7e578eb81fa842,142.0,низкое качество
ea9eb352e2af03f62402ac55be495feb,140.0,среднее качество
ea9eb352e2af03f62402ac55be495feb,164.0,среднее качество
ea9eb352e2af03f62402ac55be495feb,174.9,низкое качество
053c7b37c95c4617f331791134227db7,230.0,среднее качество
053c7b37c95c4617f331791134227db7,120.0,среднее качество
8cba2420cb3bf133aecdbcc967c3f628,130.0,среднее качество
053c7b37c95c4617f331791134227db7,95.0,среднее качество
b096ff65fdedb9b12216e48c146ec6e3,246.0,среднее качество
cbe36da0a4d1deebba416c2e009b9ef0,240.0,среднее качество
8cba2420cb3bf133aecdbcc967c3f628,120.0,среднее качество
798dfaf310560d3b3ccb245668d82f22,192.0,низкое качество
798dfaf310560d3b3ccb245668d82f22,155.0,среднее качество
3fda519da8f720c7507f9817e7fed9ac,230.0,среднее качество
3fda519da8f720c7507f9817e7fed9ac,150.0,среднее качество
3fda519da8f720c7507f9817e7fed9ac,130.0,среднее качество
e601d74a6d367d4bf0fb74216adb95b5,170.0,среднее качество
e30682674316c62c504bfc54e4fb460b,151.0,среднее качество
e3522abc028d4eb088ed356cd3d2e49c,130.0,среднее качество
56c22d489907b380de190c17945e28d1,266.0,среднее качество
2326c5a8e8c7d3d752cf16e8d29515de,96.0,среднее качество
2326c5a8e8c7d3d752cf16e8d29515de,177.0,среднее качество
64fcc93f7557e22482c171cac2e07d82,150.0,среднее качество
04d7884a9f7019671285b87ca468d0f1,234.0,среднее качество
04d7884a9f7019671285b87ca468d0f1,230.0,среднее качество
5a6f924f9bac7b13d44b26d9a2927bf4,140.0,среднее качество
7a959be39973208db7ae26ddea82fb8a,173.0,среднее качество
cda627efd1549ecb72fa7931685d5aa3,135.0,среднее качество
5a6f924f9bac7b13d44b26d9a2927bf4,52.0,среднее качество
5a6f924f9bac7b13d44b26d9a2927bf4,0.0,среднее качество
5a6f924f9bac7b13d44b26d9a2927bf4,44.0,низкое качество
506cc18f8bb8a3ba0b0d51ab69deeff8,0.0,среднее качество
1e84fd3c5c3081bbb511bcd72a0bdb39,287.0,среднее качество
1e84fd3c5c3081bbb511bcd72a0bdb39,0.0,среднее качество
36e0d53a73206bd51483a390fae489c7,0.0,низкое качество
e60e9600e9fe63a14d67342873974e56,321.9,среднее качество
5fbee0cb54acfac5ad4b19f6a550f2e1,0.0,низкое качество
deed95fb1f5eab30a384ea91fc8c3dba,0.0,среднее качество
1c1e93a60bd298a468b52d2438424947,211.5,среднее качество
1c1e93a60bd298a468b52d2438424947,200.0,среднее качество
ceed2d69541596760b6691cf2e67051f,270.6,среднее качество
ceed2d69541596760b6691cf2e67051f,261.7,среднее качество
02bd0350b7f0cef7af7ca50801d89810,256.0,среднее качество
02bd0350b7f0cef7af7ca50801d89810,254.3,среднее качество
80d416d13a51895f6d681c48d42803ed,259.0,среднее качество
86854f0b0b900eb94d07fdd8d8a8602e,0.0,среднее качество
0ea0a5fbb3dc2f41fcbdd591f1e026a2,275.0,среднее качество
0ea0a5fbb3dc2f41fcbdd591f1e026a2,360.0,среднее качество
80d416d13a51895f6d681c48d42803ed,252.0,среднее качество
359920cc5430cb2962a595b6c21cda3b,262.7,среднее качество
e3297a80a3a375a08266cc67d21b54fb,239.4,среднее качество
b8c532142cb28a41f2692647bc419fb6,245.0,среднее качество
9c52c1cc2a7a67576542e989475da7f5,236.0,среднее качество
984d231a56ddf1755c7daf3c6dd74601,240.0,среднее качество
8e1938a8124a80b8d91b984d056e50d4,295.4,высокое качество
8e1938a8124a80b8d91b984d056e50d4,285.0,среднее качество
4543c6c76f3e160c48ed499b63dbe98b,251.15,среднее качество
4543c6c76f3e160c48ed499b63dbe98b,251.0,низкое качество
86d369905963a6b3000df6ac750f9744,0.0,среднее качество
86d369905963a6b3000df6ac750f9744,395.0,среднее качество
86d369905963a6b3000df6ac750f9744,248.0,высокое качество
cc3fecdd18ba142d01b791d6104c6ab2,249.0,среднее качество
15a51a0de838bdb2a3a48d70278b43d5,255.0,среднее качество
5a1a4d2b9e281e1c587b0395b39c01af,0.0,высокое качество
2ab4532d8cf5129fd9f58bd3fc181768,282.0,низкое качество
2ab4532d8cf5129fd9f58bd3fc181768,220.0,среднее качество
2ab4532d8cf5129fd9f58bd3fc181768,220.0,среднее качество
2ab4532d8cf5129fd9f58bd3fc181768,271.0,низкое качество
5a1a4d2b9e281e1c587b0395b39c01af,300.0,низкое качество
912f831b256502ae2e364fcf40377906,263.0,среднее качество
65a519455590214f7c4494d1790d51a8,273.0,среднее качество
1b9e45ebbd67eae521ddaab76d8deb1a,353.7,среднее качество
8bdb19e0eecb6cca81fdd3f7bc58eebf,0.0,низкое качество
38ffaacf7b8d60b68d9c7044141e54bc,0.0,среднее качество
38ffaacf7b8d60b68d9c7044141e54bc,300.0,низкое качество
38ffaacf7b8d60b68d9c7044141e54bc,249.2,низкое качество
4571b100370d786862db8e03e3e38e5a,325.0,низкое качество
4571b100370d786862db8e03e3e38e5a,0.0,низкое качество
75d6a78f08a827daa1cad0a9b6032823,211.0,среднее качество
74847140da9cedde0dfa2fc40e6d6c74,210.0,среднее качество
74847140da9cedde0dfa2fc40e6d6c74,183.7,низкое качество
74847140da9cedde0dfa2fc40e6d6c74,0.0,низкое качество
d3b63715faebec4d81754c3e7a3ad836,270.3,среднее качество
fc73d9d98621e750b923524cfbc4d09b,256.4,среднее качество
aa3dc72b6f40042634a2335fc2266082,223.0,среднее качество
aa3dc72b6f40042634a2335fc2266082,0.0,среднее качество
fc73d9d98621e750b923524cfbc4d09b,284.8,среднее качество
897268660bdb9f7de7311b8610eb7a4b,300.23,среднее качество
44526ca6f359c464df4590a567301570,395.0,низкое качество
44526ca6f359c464df4590a567301570,385.0,среднее качество
a48cbcbc015dec9f031a07cb658802ee,255.0,среднее качество
c5a7c4b92e1ee3d65032385f0326d33f,185.0,высокое качество
8d67775bcec7622c89b920ca2ef3a481,0.0,низкое качество
2467cca915e0bdbef7f43572fa63af08,0.0,низкое качество
34ece3d9bcd82bd6be4b374cf1ce71b0,0.0,среднее качество
4571b100370d786862db8e03e3e38e5a,252.3,среднее качество
4571b100370d786862db8e03e3e38e5a,366.0,низкое качество
2467cca915e0bdbef7f43572fa63af08,398.38,среднее качество
2467cca915e0bdbef7f43572fa63af08,244.5,среднее качество
2bc858b86e1cff828908eb5c396ae38e,254.0,среднее качество
17937e3e75034f8b4614b7231d4d989b,0.0,низкое качество
065b308066161ae96d2f1f8bca1afe0e,0.0,низкое качество
722e35e0a0013ae27c95bb176e71ac51,295.0,среднее качество
722e35e0a0013ae27c95bb176e71ac51,0.0,среднее качество
4b3b8c7d50e0417709d3ec24b9dfd6e5,246.0,низкое качество
b3ba577b74dc29690cf11505b902dade,258.0,высокое качество
cb4db678d1df33abb07c246056965936,301.0,среднее качество
cb4db678d1df33abb07c246056965936,173.8,среднее качество
cb4db678d1df33abb07c246056965936,225.6,среднее качество
15e27270654bb79bfa7c3b93f244fa8f,187.0,низкое качество
f4bbc42a9a9e4d5096de8d52498f5776,312.8,среднее качество
f4bbc42a9a9e4d5096de8d52498f5776,236.0,среднее качество
f4bbc42a9a9e4d5096de8d52498f5776,0.0,среднее качество
8d91d5f562643804e531e9ebc0c38671,235.4,среднее качество
779cb52e28e107b6dc15c5ad4ea81ce4,0.0,низкое качество
cb4b05b61fe15973d98226ecf24ad66b,305.9,низкое качество
101c2d447c54bf4798d4e8942a1b5b50,213.0,среднее качество
101c2d447c54bf4798d4e8942a1b5b50,292.7,низкое качество
1e2ae3e936382b1dfdefd7ce3fc63d56,259.3,низкое качество
70c754d2943637baa38189b115c12c30,180.0,результат ненадежен
1c76c16d6f5e5b2647d4adb180ef156d,116.0,результат ненадежен
1c76c16d6f5e5b2647d4adb180ef156d,110.0,результат ненадежен
1763f50093770656397873fc691265f1,190.0,среднее качество
1763f50093770656397873fc691265f1,247.2,среднее качество
da6adb51ff45fe0fc91e316bb62f0a90,290.4,среднее качество
a097f9b2f7c3f5f01443fa2ddae1b39d,91.0,результат ненадежен
47e2501363b3d10bb6826cd7d1bed6e0,204.0,результат ненадежен
47e2501363b3d10bb6826cd7d1bed6e0,192.0,результат ненадежен
47e2501363b3d10bb6826cd7d1bed6e0,230.0,результат ненадежен
f9be846d0d7fd19adf0b0dcc4c7a82ff,214.0,среднее качество
3e6bb038ae52e2c24b40e6b007d0aabb,0.0,низкое качество
3e6bb038ae52e2c24b40e6b007d0aabb,155.0,среднее качество
3e6bb038ae52e2c24b40e6b007d0aabb,260.0,среднее качество
33ade9a545e41ba0ab1112242afa96be,241.8,результат ненадежен
33ade9a545e41ba0ab1112242afa96be,130.0,результат ненадежен
33ade9a545e41ba0ab1112242afa96be,128.7,результат ненадежен
33ade9a545e41ba0ab1112242afa96be,158.0,результат ненадежен
a1d637c2552d4cfb99695aaef6141914,302.0,результат ненадежен
97a140dfc00b5c77c8747261cdff8579,0.0,результат ненадежен
97a140dfc00b5c77c8747261cdff8579,0.0,результат ненадежен
9f6d16dfa89c9b2868216f2e2f5be3e2,142.0,результат ненадежен
9f6d16dfa89c9b2868216f2e2f5be3e2,165.0,результат ненадежен
9f6d16dfa89c9b2868216f2e2f5be3e2,137.0,результат ненадежен
9f6d16dfa89c9b2868216f2e2f5be3e2,273.6,низкое качество
9f6d16dfa89c9b2868216f2e2f5be3e2,264.6,низкое качество
4db4d46025c891a84b33f836f6547981,270.8,результат ненадежен
514e929c74efebdc2a189134718b114d,126.0,низкое качество
514e929c74efebdc2a189134718b114d,110.0,низкое качество
2d4324ad6f0ab95e0570aff40c580b9b,220.0,среднее качество
2d4324ad6f0ab95e0570aff40c580b9b,250.0,результат ненадежен
89d8a6befb17f42494a91173c84446bd,286.0,среднее качество
7fbb796cc42d6e00c140078bacbdf42d,0.0,результат ненадежен
7fbb796cc42d6e00c140078bacbdf42d,200.7,результат ненадежен
11a9ec373db79f6386c352de776fc373,95.0,результат ненадежен
4db4d46025c891a84b33f836f6547981,403.0,результат ненадежен
89d8a6befb17f42494a91173c84446bd,240.0,среднее качество
89d8a6befb17f42494a91173c84446bd,184.0,результат ненадежен
89d8a6befb17f42494a91173c84446bd,109.8,результат ненадежен
89d8a6befb17f42494a91173c84446bd,160.0,результат ненадежен
265371ffde76fcffc7e4959a4bdc3ecf,130.0,результат ненадежен
265371ffde76fcffc7e4959a4bdc3ecf,164.0,результат ненадежен
bf318a27376e1c5645176ec275cfa222,460.0,результат ненадежен
d7e88ed014ceffe2232d9e913887c7e6,198.0,результат ненадежен
d7e88ed014ceffe2232d9e913887c7e6,198.2,низкое качество
d7e88ed014ceffe2232d9e913887c7e6,295.1,низкое качество
a4ee245460284581dc7624d6ba85abe8,240.0,результат ненадежен
a4ee245460284581dc7624d6ba85abe8,201.0,результат ненадежен
a4ee245460284581dc7624d6ba85abe8,145.0,результат ненадежен
6b68ae1be719488f259414bcb925ce37,242.2,высокое качество
a72d6b3c2476e606745f4c00ab320989,143.0,результат ненадежен
a72d6b3c2476e606745f4c00ab320989,145.0,результат ненадежен
a72d6b3c2476e606745f4c00ab320989,128.3,результат ненадежен
f1697755b5131492ee34f79f0ac66474,0.0,результат ненадежен
f1697755b5131492ee34f79f0ac66474,255.0,результат ненадежен
09dfc186d24aab3aa8fc541f3561a3dd,155.0,среднее качество
ce5f36e323ed572f9e9792617d7f06d7,166.0,результат ненадежен
ce5f36e323ed572f9e9792617d7f06d7,200.4,низкое качество
49ae3723488d7438951a38623e047df9,170.0,среднее качество
ce5f36e323ed572f9e9792617d7f06d7,180.0,низкое качество
212d42ed6f1ff517cceaebea489c54c4,220.0,среднее качество
6874f2a16d39d2d02358a616e3b9661e,173.0,результат ненадежен
4c9a263ac1b30223bc1512f7582a8431,125.0,среднее качество
49ae3723488d7438951a38623e047df9,267.5,низкое качество
212d42ed6f1ff517cceaebea489c54c4,362.0,результат ненадежен
1bd23e069c7dfbedc14ccf2e309b87d3,115.0,результат ненадежен
312b54c7b34ab76c43f0e4c6894c7cce,227.6,результат ненадежен
4052a766179bb8a037037fe0a163e5e6,265.0,среднее качество
4052a766179bb8a037037fe0a163e5e6,283.0,среднее качество
29b31ceb116b13b55f2bebdd889cd340,175.0,среднее качество
29b31ceb116b13b55f2bebdd889cd340,258.0,среднее качество
390f816cc9605129f700f7cc53ada7c3,375.6,среднее качество
390f816cc9605129f700f7cc53ada7c3,176.0,среднее качество
1985ce133e46136b7d36e49a8ab3a49c,216.9,результат ненадежен
1985ce133e46136b7d36e49a8ab3a49c,240.0,результат ненадежен
b23b5b7b96eaf56f7da0df8e88ce2c7d,254.0,результат ненадежен
8638cf7ef5d7bab8114fc5b55d57f8cf,150.0,результат ненадежен
b23b5b7b96eaf56f7da0df8e88ce2c7d,325.0,результат ненадежен
dfa12d05582ecbb7a792529cb70f3443,119.0,результат ненадежен
dfa12d05582ecbb7a792529cb70f3443,144.0,среднее качество
dfa12d05582ecbb7a792529cb70f3443,232.0,среднее качество
a4a746375591075154a030fd6ee4cf67,262.0,результат ненадежен
178f3af9ca218fe3fa827b26e0b1f055,110.0,среднее качество
178f3af9ca218fe3fa827b26e0b1f055,192.0,среднее качество
178f3af9ca218fe3fa827b26e0b1f055,128.0,низкое качество
178f3af9ca218fe3fa827b26e0b1f055,120.0,низкое качество
791bbcb4c0ba6e5ca5c03f0e53e0b336,120.0,среднее качество
27ed8cb1491ff7000349cb15aa76f38d,99.9,низкое качество
741de50e542ce6ecf34d9f927bc01025,155.0,среднее качество
f713408672b1a83365fa181cd48a96e0,176.0,среднее качество
f713408672b1a83365fa181cd48a96e0,233.8,среднее качество
741de50e542ce6ecf34d9f927bc01025,210.0,низкое качество
103c9dbb809d383975c5349cbc296767,200.0,результат ненадежен
103c9dbb809d383975c5349cbc296767,125.0,результат ненадежен
7d7556704c857b8866e9739ec46a4ce0,168.0,результат ненадежен
7d7556704c857b8866e9739ec46a4ce0,77.2,результат ненадежен
7d7556704c857b8866e9739ec46a4ce0,154.1,среднее качество
f312b09169c570e58aad21c79c3848d7,219.7,результат ненадежен
f312b09169c570e58aad21c79c3848d7,275.0,результат ненадежен
f312b09169c570e58aad21c79c3848d7,185.0,результат ненадежен
9ffda40f559d378c855f7bb542eb7cf0,196.0,среднее качество
abff2d79173897d9d10978b1fe40af57,120.0,среднее качество
abff2d79173897d9d10978b1fe40af57,124.0,низкое качество
abff2d79173897d9d10978b1fe40af57,0.0,среднее качество
047a7a651d481e1c43b691c9e7dc07c9,140.0,результат ненадежен
047a7a651d481e1c43b691c9e7dc07c9,77.0,результат ненадежен
1aef50d46be37845f319e2b44970294d,184.8,низкое качество
73628a074811b6524add8e5db22bf311,276.8,среднее качество
715dd12a0970650cfba3447dad61afe1,197.0,результат ненадежен
5122418cc2a2c851546fa82d0d0990cd,131.0,среднее качество
e845395c95fc1d74f7d62d438adc4b6a,453.0,результат ненадежен
57e819bddc72cc7217ac440272d1ad8a,95.0,результат ненадежен
57e819bddc72cc7217ac440272d1ad8a,101.0,результат ненадежен
692623ac3019b57029b5fc7bb87c549e,93.6,результат ненадежен
9bdd9229dbb58ac4de5587b1998685c5,97.0,низкое качество
9bdd9229dbb58ac4de5587b1998685c5,169.3,среднее качество
adc60a2ea550588cea745d0f1f45b1f0,245.3,низкое качество
1ab6c3eef1f7d451086331e5a1480c7f,258.5,среднее качество
1ab6c3eef1f7d451086331e5a1480c7f,200.0,результат ненадежен
1ab6c3eef1f7d451086331e5a1480c7f,192.0,среднее качество
1ab6c3eef1f7d451086331e5a1480c7f,226.0,низкое качество
005642f48d3e86d871bb701bac2ba042,0.0,результат ненадежен
c26785408c8d7adcc5382fee112e3eee,111.5,результат ненадежен
c26785408c8d7adcc5382fee112e3eee,170.0,результат ненадежен
c26785408c8d7adcc5382fee112e3eee,259.0,результат ненадежен
a7c167decf248cc66b42b8a374b44674,272.0,низкое качество
8a90dcb909888eee434ee9c7692b8ac6,215.0,низкое качество
005642f48d3e86d871bb701bac2ba042,206.3,результат ненадежен
657deb87b0f725e01ce3f558beb05ce6,263.0,результат ненадежен
ec9e4e52b3b4d48435a0046141a6e65b,238.8,результат ненадежен
ec9e4e52b3b4d48435a0046141a6e65b,243.0,среднее качество
ec9e4e52b3b4d48435a0046141a6e65b,269.0,среднее качество
ffd9cc7c00874c392cd136ca81a0a3a0,240.0,результат ненадежен
ffd9cc7c00874c392cd136ca81a0a3a0,261.0,среднее качество
f6373564addf0f0061435bcae4fba3ae,170.0,результат ненадежен
ffd9cc7c00874c392cd136ca81a0a3a0,268.0,среднее качество
dab6b75ef087ee5a40c44d503dbd4941,0.0,результат ненадежен
dab6b75ef087ee5a40c44d503dbd4941,243.0,среднее качество
7a253850cb4d1309b91fe9316f5a1ed8,192.0,результат ненадежен
475478c7c1fccdf3964226610102477a,214.0,результат ненадежен
4d77a925c23bfe011453dfb08c978d2f,265.0,результат ненадежен
4d77a925c23bfe011453dfb08c978d2f,266.0,среднее качество
4d77a925c23bfe011453dfb08c978d2f,269.0,среднее качество
4d77a925c23bfe011453dfb08c978d2f,163.0,результат ненадежен
2f32a13a519b0b6a144fb7850902e74d,241.0,результат ненадежен
2f32a13a519b0b6a144fb7850902e74d,183.0,среднее качество
2f32a13a519b0b6a144fb7850902e74d,232.0,среднее качество
2f32a13a519b0b6a144fb7850902e74d,269.0,среднее качество
4ff60c99c89001658c5c42a68b99cc81,161.3,результат ненадежен
4ff60c99c89001658c5c42a68b99cc81,152.0,результат ненадежен
282732a2ace9113f8d32535244ad84e3,274.4,среднее качество
fe6637ba6939eaca6a8da0bf58b0d1d7,237.0,среднее качество
fe6637ba6939eaca6a8da0bf58b0d1d7,264.0,среднее качество
1e49be7690ee35800933041679b258a9,225.0,среднее качество
1e49be7690ee35800933041679b258a9,276.0,среднее качество
c56e6bb1631e606b395faf8b35362bed,264.5,среднее качество
f8c6e6f9d7ba01543f4e76f0ec8e6256,0.0,низкое качество
36b9b03fe6f054cefb4db3977b479d47,165.0,результат ненадежен
36b9b03fe6f054cefb4db3977b479d47,189.0,результат ненадежен
e0cc3e36c7e3b1cf17d5b8abd6a2ef50,434.2,результат ненадежен
